Size enumeration member,1,,,
Parameter Property,1,,,Retrieves a parameter from the element given an identifier.
Inequality Operator,1,,,Determines whether two GeometryObjects are different.
Create Method,1,,,Creates a new pipe that connects two connectors. The new pipe will have the same diameter and system type as the start connector. If the connection fails; the method throws an exception.
ExternalServices Class,1,,,Provides a container of all Revit built-in ExternalServiceId instances.
NonPlanarFace enumeration member,1,,,
Dispose Method,1,,,Releases all resources used by the ViewDisplayModel
Building enumeration member,1,,,
IsLevelId Method,1,,,Checks if given element id is valid level element.
DetailCurveArrayIterator Members,1,,,For Internal Use Only.
HVACDuctSize enumeration member,1,,,
CannotCopyImportInstancesAcrossProjects Property,1,,,Linked Imported Files cannot be copied across projects. All non-RVT linked files will be pasted as imports instead.
NoOfBuildingTypes enumeration member,1,,,
NewReferencePoint Method (XYZ),1,,,Create a reference point at a given location in an AutodeskRevit family document.
SetDWGExportOptions Method,1,,,Sets the options stored in these settings.
FABRICATION_PART_TAKEOFF_DIALOG_PARAM enumeration member,1,,,
SetRodEndPosition Method,1,,,Sets the position of the rod end. The method is applicable only for bearer hanger.
VIEW_SCHEMA_SETTING_FOR_SYSTEM enumeration member,1,,,
OpenDocumentFile Method,1,,,Opens a document from disk.
Insert Method,1,,,Insert the specified voltage type into the set.
FamilyDoesntMatchSystemPropertiesWasDisconnected Property,1,,,The family no longer matches the properties for the System. Disconnect the family from the System?
IsValidObject Property,1,,,Specifies whether the .NET object represents a valid Revit entity.
RepeatElements Method,1,,,Repeats a set of adaptive component hosted on one or more repeating references.
AutomaticCeiling enumeration member,1,,,
StructuralWallUsage Enumeration,1,,,Represents the structural usage of a wall.
MismatchVoltageLineToLine Property,1,,,Cannot assign or add [Element] to Circuit. The Voltage ([Voltage Value]) for the Circuit is out of range for the Line to Line Voltage for [Element] (The Line to Line Voltage is specified in the assigned Distribution System).
AUTO_PANEL_WALL enumeration member,1,,,
GetPlaneReference Method,1,,,Returns a reference to this element as a plane.
GetMaterialArea Method,1,,,Gets the area of the material with the given id.
AcceptingData enumeration member,1,,,
GetObjectData Method,1,,,Retrieves data needed to serialize the target object.
Print Method,1,,,Print this view.
CategoryNameMap Class,1,,,A map that contains a mapping of category name to its category object.
IsEmpty Property,1,,,Test to see if the set is empty.
ConnectorSeparator Property,1,,,The duct connector separator string.
SpotLightDistribution Members,1,,,Creates a spot light distribution object with the following values; PI/6 radians spot beam anglePI/2 radians spot field anglePI/6 radians tilt angle
DWGImportOptions Class,1,,,The import options used by importing DWG or DXF format file.
KeyBasedTreeEntryTable Class,1,,,KeyBasedTreeEntryTable represents the collection of key-based tree entries for a document.
GetCellType Method (Int32),1,,,Returns a column's cell type and if no type exists for this column; it would come from the section
FamilySymbolSetIterator Members,1,,,For Internal Use Only.
ExternalApplicationArrayIterator Members,1,,,For Internal Use Only.
FilterNumericLess Members,1,,,Constructs an instance of FilterNumericLess.
FabricationHostedInfo Class,1,,,The fabrication hosted element information.
ProjectInformation Property,1,,,Return the Project Information of the current project.
FenceType Property,1,,,Type of diagram fence visualization.
PG_GEOMETRY_POSITIONING enumeration member,1,,,
Others enumeration member,1,,,
LeaderArrayIterator Members,1,,,For Internal Use Only.
OST_PathReinBoundary enumeration member,1,,,
PaneId Property,1,,,The identifier for dockable pane.
GetIconPath Method,1,,,Implement this method to return the path to an icon file which will be displayed in Revit user interfaces associated to this server.
RoomTagFilter Class,1,,,A filter used to match room tags.
DocumentCreatingEventArgs Members,1,,,When the event is cancellable; may call the Cancel() method to cancel it.
EndLocalParameter Property,1,,,Local parameter associated with the end point.
OpenStringerConflictNosing Property,1,,,Open stringer can't be created for selected nosing profile. Set nosing profile to default to get open stringers created.
Symbol Property,1,,,Returns or changes the FamilySymbol object that represents the type of the instance.
TrussCrossingReferences Property,1,,,Truss top and bottom references cannot cross.
BEAM_SYSTEM_3D_PARAM enumeration member,1,,,
IsDGNImportLinkAvailable Method,1,,,Checks whether the DGN Import/Link functionality is available in the installed Revit.
CanBePrinted Property,1,,,Test whether the view can be printed.
OST_RampsAboveCut enumeration member,1,,,
WorksetId Property,1,,,The workset id.
WallType enumeration member,1,,,
GetEnumerator Method,1,,,Retrieve a forward moving iterator to the set.
ForwardIterator Method,1,,,Retrieve a forward moving iterator to the array.
Clear Method,1,,,Removes every conduit type from the set; rendering it empty.
StructuralSectionsServiceData Class,1,,,The data needed by section type server to perform type definition.
ActualValue Property,1,,,Get actual voltage value of this voltage definition; the unit is volt.
OST_ProfileFamilies enumeration member,1,,,
IsValidObject Property,1,,,Specifies whether the .NET object represents a valid Revit entity.
NumberOfPeople enumeration member,1,,,
TrussLayoutNonSympleTopChord Property,1,,,This truss layout family defines an offset or non horizontal top chord. This may conflict with attachment or profile editing.
DefaultViewDiscipline Property,1,,,The view discipline that will be applied to new views by default.
DoubleClickOptions Class,1,,,Provides access to settings that control what happens when the current user double-clicks on an element.
CurveByPoints Properties,1,,,The id of the assembly instance to which the element belongs.
IsCurved Property,1,,,Test to see if the grid line is curved or straight.
TextNoteTypeSet Constructor,1,,,Initializes a new instance of the TextNoteTypeSet class
PrintToFile Property,1,,,Indicates whether to print to file.
OST_ElectricalLoadClassifications enumeration member,1,,,
WinderRunWidthOrMinWidthOrTooGreatParallelTreadsFailure Property,1,,,The parameter runwidth is great or the parameter min width at inside boundary is too great; or number of parallel treads at both ends is too great.
PanelTypeSet Class,1,,,A set that contains panel types.
VIEW_GRAPH_SCHED_GRID_APPEARANCE enumeration member,1,,,
